Player Hand,Player Value,Banker Hand,Banker Value,Winner
Q of Spades-8 of Spades,8,7 of Diamonds-9 of Spades,6,Player
5 of Hearts-K of Hearts-K of Diamonds,5,K of Spades-4 of Clubs-8 of Hearts,2,Player
K of Hearts-6 of Hearts,6,5 of Hearts-7 of Hearts-10 of Clubs,2,Player
9 of Spades-A of Clubs-7 of Spades,7,7 of Diamonds-2 of Spades,9,Banker
A of Hearts-7 of Hearts,8,K of Clubs-Q of Spades-2 of Spades,2,Player
A of Spades-A of Hearts-J of Clubs,2,8 of Diamonds-8 of Hearts,6,Banker
5 of Clubs-3 of Diamonds,8,10 of Hearts-10 of Hearts-3 of Clubs,3,Player
7 of Hearts-Q of Diamonds,7,K of Diamonds-Q of Hearts-2 of Hearts,2,Player
8 of Spades-4 of Hearts-9 of Clubs,1,2 of Diamonds-10 of Diamonds-5 of Diamonds,7,Banker
6 of Diamonds-6 of Hearts-6 of Hearts,8,6 of Clubs-Q of Hearts,6,Player
4 of Hearts-K of Spades-6 of Spades,0,5 of Spades-J of Clubs-6 of Spades,1,Banker
7 of Hearts-8 of Diamonds-5 of Diamonds,0,8 of Clubs-J of Spades,8,Banker
5 of Clubs-3 of Spades,8,2 of Spades-4 of Diamonds,6,Player
4 of Spades-7 of Clubs-3 of Hearts,4,2 of Clubs-3 of Diamonds-7 of Spades,2,Player
Q of Diamonds-A of Spades-A of Hearts,2,J of Clubs-10 of Spades-10 of Clubs,0,Player
8 of Clubs-4 of Clubs-3 of Spades,5,3 of Diamonds-10 of Hearts-K of Clubs,3,Player
A of Hearts-10 of Spades-8 of Spades,9,8 of Clubs-4 of Spades-3 of Hearts,5,Player
A of Diamonds-5 of Hearts,6,J of Hearts-3 of Clubs-3 of Diamonds,6,Tie
2 of Hearts-K of Clubs-A of Diamonds,3,4 of Hearts-4 of Diamonds,8,Banker
2 of Spades-A of Diamonds-K of Diamonds,3,5 of Clubs-6 of Spades-Q of Hearts,1,Player
Q of Spades-A of Spades-A of Hearts,2,Q of Hearts-6 of Diamonds,6,Banker
A of Clubs-9 of Spades-8 of Hearts,8,7 of Clubs-J of Diamonds,7,Player
9 of Hearts-K of Diamonds,9,10 of Spades-J of Diamonds-7 of Spades,7,Player
5 of Spades-5 of Clubs-9 of Diamonds,9,4 of Hearts-5 of Spades,9,Tie
A of Clubs-7 of Hearts,8,8 of Spades-2 of Diamonds-2 of Hearts,2,Player
8 of Diamonds-4 of Diamonds-7 of Spades,9,9 of Hearts-7 of Clubs,6,Player
10 of Spades-6 of Clubs,6,9 of Diamonds-6 of Spades-8 of Hearts,3,Player
6 of Hearts-4 of Diamonds-3 of Hearts,3,2 of Clubs-6 of Clubs,8,Banker
8 of Diamonds-4 of Clubs-7 of Diamonds,9,3 of Clubs-2 of Diamonds-4 of Diamonds,9,Tie
4 of Hearts-6 of Spades-5 of Diamonds,5,3 of Spades-K of Clubs-K of Diamonds,3,Player
9 of Hearts-K of Hearts,9,10 of Spades-9 of Spades,9,Tie
8 of Spades-3 of Spades-3 of Diamonds,4,5 of Clubs-6 of Diamonds-8 of Diamonds,9,Banker
J of Spades-5 of Spades-A of Spades,6,J of Spades-5 of Diamonds-2 of Spades,7,Banker
J of Spades-9 of Clubs,9,6 of Diamonds-J of Spades,6,Player
2 of Diamonds-10 of Clubs-4 of Clubs,6,7 of Diamonds-2 of Hearts,9,Banker
J of Spades-9 of Spades,9,3 of Clubs-9 of Clubs-8 of Hearts,0,Player
K of Diamonds-10 of Diamonds-8 of Clubs,8,2 of Clubs-9 of Clubs-J of Clubs,1,Player
J of Hearts-7 of Spades,7,Q of Clubs-Q of Clubs-2 of Spades,2,Player
8 of Hearts-6 of Hearts-K of Spades,4,A of Diamonds-6 of Hearts,7,Banker
Q of Spades-6 of Clubs,6,A of Diamonds-A of Clubs-Q of Diamonds,2,Player
2 of Diamonds-2 of Spades-2 of Diamonds,6,10 of Diamonds-3 of Clubs-J of Diamonds,3,Player
7 of Diamonds-Q of Diamonds,7,5 of Hearts-5 of Hearts-J of Clubs,0,Player
10 of Spades-3 of Spades-K of Spades,3,Q of Diamonds-Q of Clubs-5 of Diamonds,5,Banker
6 of Clubs-8 of Hearts-J of Hearts,4,4 of Hearts-7 of Diamonds-9 of Hearts,0,Player
10 of Diamonds-4 of Clubs-3 of Hearts,7,6 of Spades-6 of Spades-K of Hearts,2,Player
7 of Clubs-3 of Spades-10 of Diamonds,0,5 of Hearts-8 of Diamonds-A of Diamonds,4,Banker
7 of Clubs-2 of Hearts,9,9 of Diamonds-7 of Clubs,6,Player
8 of Spades-9 of Clubs,7,6 of Spades-J of Hearts,6,Player
J of Hearts-K of Spades-K of Hearts,0,3 of Diamonds-6 of Diamonds,9,Banker
Q of Spades-J of Clubs-2 of Hearts,2,J of Clubs-10 of Diamonds-A of Spades,1,Player
Q of Clubs-2 of Diamonds-3 of Clubs,5,10 of Clubs-2 of Clubs-8 of Diamonds,0,Player
5 of Diamonds-5 of Spades-J of Diamonds,0,J of Diamonds-J of Hearts-10 of Diamonds,0,Tie
4 of Hearts-7 of Diamonds-J of Spades,1,6 of Hearts-9 of Hearts-7 of Spades,2,Banker
K of Clubs-K of Diamonds-5 of Clubs,5,A of Hearts-4 of Diamonds-6 of Clubs,1,Player
5 of Diamonds-3 of Diamonds,8,2 of Diamonds-10 of Hearts-K of Spades,2,Player
J of Hearts-A of Clubs-4 of Diamonds,5,10 of Hearts-A of Hearts-K of Clubs,1,Player
5 of Spades-6 of Diamonds-Q of Hearts,1,5 of Clubs-J of Diamonds-8 of Spades,3,Banker
A of Clubs-4 of Clubs-8 of Clubs,3,8 of Hearts-5 of Clubs-4 of Clubs,7,Banker
6 of Diamonds-3 of Hearts,9,10 of Hearts-A of Clubs-3 of Hearts,4,Player
7 of Hearts-Q of Spades,7,J of Spades-9 of Spades,9,Banker
4 of Spades-7 of Clubs-A of Diamonds,2,4 of Spades-7 of Hearts-10 of Spades,1,Player
A of Hearts-A of Spades-8 of Spades,0,4 of Spades-A of Spades-10 of Clubs,5,Banker
5 of Spades-9 of Clubs-10 of Diamonds,4,K of Hearts-Q of Diamonds-5 of Hearts,5,Banker
Q of Clubs-6 of Diamonds,6,10 of Hearts-J of Clubs-8 of Clubs,8,Banker
Q of Spades-3 of Clubs-7 of Hearts,0,5 of Hearts-8 of Diamonds-4 of Spades,7,Banker
K of Clubs-2 of Clubs-K of Spades,2,9 of Diamonds-K of Hearts,9,Banker
3 of Diamonds-3 of Spades,6,Q of Clubs-Q of Clubs-5 of Spades,5,Player
9 of Diamonds-10 of Spades,9,J of Diamonds-A of Diamonds-K of Diamonds,1,Player
2 of Spades-A of Spades-3 of Clubs,6,6 of Clubs-9 of Diamonds-4 of Diamonds,9,Banker
J of Hearts-K of Clubs-K of Spades,0,5 of Diamonds-2 of Clubs,7,Banker
J of Diamonds-10 of Clubs-Q of Hearts,0,2 of Clubs-Q of Diamonds-7 of Spades,9,Banker
3 of Spades-9 of Diamonds-9 of Spades,1,9 of Spades-6 of Hearts-7 of Diamonds,2,Banker
